freq,uaarea,unit,geo\TIME_PERIOD	2005 	2007 	2010 	2013 	2016 	2020 	2023 
A,HA0,HLD,AT	580 	870 	1080 	820 	1070 	540 	420 
A,HA0,HLD,BE	920 	900 	950 	420 	680 	700 	: 
A,HA0,HLD,BG	14080 	11210 	13150 	9550 	16570 	5460 	6210 i
A,HA0,HLD,CH	1090 	980 	1340 	: 	870 	670 	: 
A,HA0,HLD,CY	320 	260 	490 	230 	240 	390 	300 
A,HA0,HLD,CZ	1070 	910 	290 	290 	360 	470 	440 
A,HA0,HLD,DE	1270 	1280 	1410 	2870 	3770 	3920 	3880 
A,HA0,HLD,DK	400 	420 	860 	900 	840 	1000 	: 
A,HA0,HLD,EE	60 	80 	150 	430 	620 	240 	190 
A,HA0,HLD,EL	5430 	6030 	6190 	5910 	6200 	5390 	6990 
A,HA0,HLD,ES	16610 	13920 	22500 	20700 	18100 	7960 	13180 i
A,HA0,HLD,EU27_2020	: 	204690 	248620 	165540 	216500 	126500 	: 
A,HA0,HLD,FI	360 	370 	400 	270 	230 	250 	: 
A,HA0,HLD,FR	5570 	5390 	9490 	8500 	8210 	4500 	4070 
A,HA0,HLD,HR	: 	4200 	230 	340 	1780 	2990 	3090 
A,HA0,HLD,HU	52420 	60370 	37640 	33670 	64890 	18270 	7630 
A,HA0,HLD,IE	80 	200 	130 	30 	: 	: 	: 
A,HA0,HLD,IS	: 	: 	30 	: 	: 	: @C	: 
A,HA0,HLD,IT	2940 	1670 	5290 	880 	1750 	12500 	: 
A,HA0,HLD,LT	60 	70 	260 	70 	190 	1690 	1600 i
A,HA0,HLD,LU	10 	10 	20 	20 	20 	50 	40 
A,HA0,HLD,LV	540 	260 	320 	1080 	290 	1720 	: 
A,HA0,HLD,ME	: 	: 	590 	: 	: 	: 	: 
A,HA0,HLD,MK	: 	: 	: 	1890 	: 	: 	: 
A,HA0,HLD,MT	190 	240 	340 	360 	220 	290 	170 
A,HA0,HLD,NL	1480 	1800 	1700 	1690 	1320 	1360 	1310 
A,HA0,HLD,NO	1210 	1500 	1790 	1600 	1050 	1210 	: 
A,HA0,HLD,PL	10650 	10840 	7960 	7450 	5540 	4190 	: 
A,HA0,HLD,PT	1300 	890 	1400 	840 	1250 	4040 	2800 
A,HA0,HLD,RO	134910 	79560 	134710 	65890 	79840 	45570 	39000 
A,HA0,HLD,RS	: 	: 	10110 	: 	: 	: 	: 
A,HA0,HLD,SE	800 	450 	740 	700 	700 	520 	620 
A,HA0,HLD,SI	30 	40 	190 	100 	80 	860 	: 
A,HA0,HLD,SK	2130 	2470 	740 	1520 	1750 	1660 	640 
A,HA0,HLD,UK	38320 	17630 	2540 	2010 	1110 	: 	: 
A,HA10-19,HLD,AT	38670 	35340 	32590 	30290 	27470 	25480 	23890 
A,HA10-19,HLD,BE	8310 	7680 	6800 	6840 	6530 	6310 	: 
A,HA10-19,HLD,BG	4760 	5480 	6820 	6780 	7100 	9810 	8200 i
A,HA10-19,HLD,CH	22050 	20950 	19350 	: 	15780 	14790 	: 
A,HA10-19,HLD,CY	1480 	1470 	1010 	900 	1010 	1040 	930 
A,HA10-19,HLD,CZ	4370 	4030 	3950 	4610 	4470 	4300 	4680 
A,HA10-19,HLD,DE	72540 	68670 	63160 	59020 	57050 	52570 	50290 
A,HA10-19,HLD,DK	10600 	8430 	7790 	6870 	6190 	5490 	: 
A,HA10-19,HLD,EE	4390 	4180 	3470 	3340 	2700 	2260 	2070 
A,HA10-19,HLD,EL	52970 	55360 	45580 	45560 	41960 	37250 	37230 
A,HA10-19,HLD,ES	126140 	122440 	110960 	110800 	112280 	103590 	93590 i
A,HA10-19,HLD,EU27_2020	: 	972620 	888070 	859790 	838130 	789450 	: 
A,HA10-19,HLD,FI	15920 	14790 	13340 	11050 	10000 	8810 	: 
A,HA10-19,HLD,FR	57980 	52180 	50150 	44770 	40870 	36990 	34560 
A,HA10-19,HLD,HR	: 	10710 	14070 	12610 	9470 	10210 	10290 
A,HA10-19,HLD,HU	18990 	17210 	19430 	20160 	20060 	19540 	19590 
A,HA10-19,HLD,IE	30090 	30480 	33580 	34200 	33560 	30870 	: 
A,HA10-19,HLD,IS	: 	: 	30 	: 	: 	70 	: 
A,HA10-19,HLD,IT	130740 	122750 	120120 	114850 	119540 	109550 	: 
A,HA10-19,HLD,LT	36250 	24670 	21470 	20070 	19320 	17070 	15370 i
A,HA10-19,HLD,LU	190 	190 	170 	170 	160 	160 	150 
A,HA10-19,HLD,LV	22260 	20760 	17490 	15790 	14560 	9910 	: 
A,HA10-19,HLD,ME	: 	: 	1160 	: 	: 	: 	: 
A,HA10-19,HLD,MK	: 	: 	: 	1950 	: 	: 	: 
A,HA10-19,HLD,MT	30 	20 	40 	40 	30 	40 	30 
A,HA10-19,HLD,NL	12990 	12150 	10820 	10060 	8650 	8100 	7750 
A,HA10-19,HLD,NO	16760 	15190 	13440 	12060 	11030 	9760 	: 
A,HA10-19,HLD,PL	237940 	239270 	218510 	208990 	202350 	192640 	: 
A,HA10-19,HLD,PT	21500 	19890 	18980 	18360 	19040 	18980 	19340 
A,HA10-19,HLD,RO	65910 	70130 	43610 	49650 	50210 	56200 	55850 
A,HA10-19,HLD,RS	: 	: 	32880 	: 	: 	: 	: 
A,HA10-19,HLD,SE	14780 	14140 	14180 	13600 	12760 	11890 	11330 
A,HA10-19,HLD,SI	8820 	8550 	8350 	8190 	8230 	7950 	: 
A,HA10-19,HLD,SK	1200 	1660 	1630 	2220 	2540 	2480 	2140 
A,HA10-19,HLD,UK	30600 	30590 	28690 	28550 	28460 	: 	: 
A,HA100-249,HLD,AT	2250 	2540 	2440 	2260 	2390 	2170 	2260 
A,HA100-249,HLD,BE	1720 	1870 	2130 	2080 	2340 	2580 	: 
A,HA100-249,HLD,BG	1590 	1800 	2300 	2700 	2720 	3980 	3860 i
A,HA100-249,HLD,CH	80 	90 	110 	: 	190 	280 	: 
A,HA100-249,HLD,CY	90 	120 	110 	90 	110 	140 	180 
A,HA100-249,HLD,CZ	1680 	1670 	1770 	1940 	1980 	2230 	2940 
A,HA100-249,HLD,DE	23250 	24580 	25740 	26780 	27870 	28710 	29050 
A,HA100-249,HLD,DK	6340 	6580 	6110 	5680 	5230 	4640 	: 
A,HA100-249,HLD,EE	730 	860 	940 	980 	1020 	1020 	1170 
A,HA100-249,HLD,EL	1250 	1130 	1330 	1290 	970 	930 	880 
A,HA100-249,HLD,ES	35320 	36220 	37140 	38170 	38070 	39540 	40280 i
A,HA100-249,HLD,EU27_2020	: 	205840 	219630 	226620 	233580 	247530 	: 
A,HA100-249,HLD,FI	2570 	3030 	3630 	4180 	4540 	5330 	: 
A,HA100-249,HLD,FR	78470 	81210 	83500 	85860 	87160 	87710 	87330 
A,HA100-249,HLD,HR	: 	450 	680 	1070 	1340 	1210 	1220 
A,HA100-249,HLD,HU	3700 	4080 	4630 	4650 	5460 	6510 	7520 
A,HA100-249,HLD,IE	3710 	4190 	4290 	4350 	4490 	5360 	: 
A,HA100-249,HLD,IS	: 	: 	620 	: 	: 	240 	: 
A,HA100-249,HLD,IT	10120 	10230 	12520 	12200 	14040 	15060 	: 
A,HA100-249,HLD,LT	1680 	2010 	2630 	3260 	3740 	4060 	4130 i
A,HA100-249,HLD,LU	350 	390 	410 	430 	450 	480 	480 
A,HA100-249,HLD,LV	1320 	1490 	1640 	1780 	1990 	2290 	: 
A,HA100-249,HLD,ME	: 	: 	360 	: 	: 	: 	: 
A,HA100-249,HLD,MK	: 	: 	: 	60 	: 	: 	: 
