freq,oga_hld,indic_ef,unit,oga_spou,age,geo\TIME_PERIOD	2005 	2007 	2010 	2013 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,AT	3.84 	4.14 	3.98 	4.06 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,BE	3.56 	3.79 	4.26 	5.00 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,BG	3.20 	3.35 	5.38 	5.92 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,CH	: 	: 	6.07 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,CY	0.43 	0.46 	0.47 	0.47 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,CZ	2.83 	2.94 	3.08 	2.90 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,DE	4.90 	5.15 	5.06 	5.27 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,DK	0.40 	0.95 	1.85 	1.69 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,EE	0.88 	1.45 	1.73 	2.31 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,EL	0.51 	0.64 	0.66 	0.80 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,ES	51.60 	55.85 	60.10 	61.61 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,FI	0.96 	1.05 	1.26 	1.63 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,FR	93.02 	99.72 	112.03 	117.86 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,HR	: 	1.13 	2.21 	3.04 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,HU	7.90 	7.66 	9.18 	8.82 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,IE	0.18 	0.16 	0.33 	0.50 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,IS	: 	: 	0.36 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,IT	29.07 	15.93 	17.18 	14.46 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,LT	0.54 	0.56 	0.65 	0.68 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,LU	0.04 	0.04 	0.05 	0.05 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,LV	0.12 	0.11 	0.12 	0.14 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,ME	: 	: 	0.05 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,MT	0.04 	0.03 	0.04 	0.04 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,NL	4.04 	3.99 	4.18 	4.26 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,NO	0.21 	0.26 	0.48 	0.31 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,PL	3.64 	3.71 	4.15 	3.62 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,PT	6.84 	6.52 	7.89 	10.93 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,RO	18.26 	17.70 	30.70 	27.88 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,SE	5.12 	4.69 	5.24 	5.19 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,SI	0.13 	0.13 	0.22 	0.20 
A,TOTAL,HOLD_HOLD,THS,TOTAL,NAP,SK	1.81 	2.04 	2.28 	2.74 
