freq,uaarea,leg_form,unit,geo\TIME_PERIOD	2005 	2007 	2010 	2013 	2016 	2020 	2023 
A,TOTAL,HLD_GRP,HLD,AT	1180 	4300 	4700 	4420 	5890 	2530 	1650 
A,TOTAL,HLD_GRP,HLD,BG	: 	: 	: 	40 	40 	30 	20 i
A,TOTAL,HLD_GRP,HLD,CH	4360 	5150 	800 	: 	1050 	860 	: 
A,TOTAL,HLD_GRP,HLD,DE	18680 	19000 	21040 	23720 	26000 	28520 	30930 
A,TOTAL,HLD_GRP,HLD,DK	: 	: 	: 	: 	: 	400 	: 
A,TOTAL,HLD_GRP,HLD,ES	: 	: 	: 	: 	: 	2130 	2740 i
A,TOTAL,HLD_GRP,HLD,EU27_2020	: 	71770 	70980 	72950 	81320 	90930 	: 
A,TOTAL,HLD_GRP,HLD,FI	2390 	2470 	5200 	4650 	4770 	4410 	: 
A,TOTAL,HLD_GRP,HLD,FR	45620 	43650 	38260 	38690 	43670 	43980 	: 
A,TOTAL,HLD_GRP,HLD,IE	: 	: 	: 	: 	: 	8260 	: 
A,TOTAL,HLD_GRP,HLD,IS	: 	: 	50 	: 	: 	: 	: 
A,TOTAL,HLD_GRP,HLD,LT	: 	: @C	30 	: @C	50 	480 	20 i
A,TOTAL,HLD_GRP,HLD,LU	: 	: 	90 	110 	70 	40 	: 
A,TOTAL,HLD_GRP,HLD,LV	410 	800 	1450 	1210 	750 	160 	: 
A,TOTAL,HLD_GRP,HLD,MT	180 	190 	220 	110 	90 	: 	: 
A,TOTAL,HLD_GRP,HLD,NL	1740 	1360 	: 	: 	: 	: 	: 
A,TOTAL,HLD_GRP,HLD,NO	1160 	1320 	2400 	1800 	1720 	1310 	: 
A,TOTAL,PER_LEG,HLD,AT	3840 	4140 	1270 	1290 	1670 	1640 	1760 
A,TOTAL,PER_LEG,HLD,BE	3560 	3790 	4260 	5000 	5820 	6330 	: 
A,TOTAL,PER_LEG,HLD,BG	3200 	3350 	5110 	5660 	7780 	9590 	9450 i
