freq,so_eur,sex,age,unit,geo\TIME_PERIOD	2010 	2013 	2016 	2020 	2023 
A,TOTAL,T,NAP,HLD,AT	: 	: 	2450 	: 	: 
A,TOTAL,T,NAP,HLD,BE	: 	: 	1200 	: 	: 
A,TOTAL,T,NAP,HLD,BG	: 	: 	260 	: 	5 i
A,TOTAL,T,NAP,HLD,CH	0 	: 	0 	29630 	: 
A,TOTAL,T,NAP,HLD,DK	: 	: 	1830 	: 	: 
A,TOTAL,T,NAP,HLD,EL	: 	: 	50 	50 	50 
A,TOTAL,T,NAP,HLD,ES	: 	: 	3370 	: 	: 
A,TOTAL,T,NAP,HLD,EU27_2020	: 	0 	13790 	3400 	: 
A,TOTAL,T,NAP,HLD,FI	: 	0 	0 	: 	: 
A,TOTAL,T,NAP,HLD,FR	: 	: 	1130 	: 	: 
A,TOTAL,T,NAP,HLD,HR	: 	0 	10 	20 	20 
A,TOTAL,T,NAP,HLD,HU	: 	: 	10 	: 	: 
A,TOTAL,T,NAP,HLD,IE	: 	: 	: 	0 	: 
A,TOTAL,T,NAP,HLD,IT	: 	: 	: 	2500 	: 
A,TOTAL,T,NAP,HLD,MK	: 	20 	: 	: 	: 
A,TOTAL,T,NAP,HLD,NO	: 	0 	0 	: 	: 
A,TOTAL,T,NAP,HLD,PL	: 	: 	50 	840 	: 
A,TOTAL,T,NAP,HLD,PT	: 	: 	630 	: 	: 
A,TOTAL,T,NAP,HLD,RO	: 	: 	2800 	: 	: 
A,TOTAL,T,NAP,HLD,SE	: 	0 	0 	: 	: 
A,TOTAL,T,NAP,HLD,UK	: 	0 	110 	: 	: 
A,TOTAL,T,TOTAL,HLD,AT	150170 	140430 	132500 	110780 	101040 
A,TOTAL,T,TOTAL,HLD,BE	42850 	37760 	36890 	36000 	: 
A,TOTAL,T,TOTAL,HLD,BG	370490 	254410 	201280 	132740 	107630 i
A,TOTAL,T,TOTAL,HLD,CH	59070 	: 	52260 	49360 	: 
A,TOTAL,T,TOTAL,HLD,CY	38860 	35380 	34950 	34050 	32020 
A,TOTAL,T,TOTAL,HLD,CZ	22860 	26250 	26530 	28910 	33170 
A,TOTAL,T,TOTAL,HLD,DE	299130 	285030 	276120 	263440 	255010 
