freq,training,age,unit,geo\TIME_PERIOD	2005 	2010 	2013 	2016 	2020 	2023 
A,BASIC,TOTAL,HLD,AT	33580 	33690 	31820 	30060 	33360 	31510 
A,BASIC,TOTAL,HLD,BE	12260 	9160 	7450 	9940 	10550 	: 
A,BASIC,TOTAL,HLD,BG	22860 	9610 	3360 	5360 	10000 	13050 i
A,BASIC,TOTAL,HLD,CH	: 	30580 	: 	26400 	24970 	: 
A,BASIC,TOTAL,HLD,CY	2630 	2050 	2460 	9400 	10370 	11340 
A,BASIC,TOTAL,HLD,CZ	8260 	4480 	4910 	4910 	5050 	5130 
A,BASIC,TOTAL,HLD,DE	89210 	165230 	151690 	133520 	126100 	108200 
A,BASIC,TOTAL,HLD,DK	20380 	18210 	16850 	16340 	16250 	: 
A,BASIC,TOTAL,HLD,EE	2920 	2740 	2660 	1870 	1880 	1680 
A,BASIC,TOTAL,HLD,EL	42250 	22790 	39050 	42490 	27550 	25400 
A,BASIC,TOTAL,HLD,ES	99300 	136610 	155710 	186720 	185800 	162460 i
A,BASIC,TOTAL,HLD,EU27_2020	: 	2702030 	2186970 	2333140 	1584360 	: 
A,BASIC,TOTAL,HLD,FI	23110 	22780 	20920 	17080 	15290 	: 
A,BASIC,TOTAL,HLD,FR	62190 	148170 	152260 	129340 	102790 	181960 
A,BASIC,TOTAL,HLD,HR	: 	6540 	5940 	11400 	8470 	7440 
A,BASIC,TOTAL,HLD,HU	34960 	64390 	69810 	72660 	69130 	65160 
A,BASIC,TOTAL,HLD,IE	22460 	21170 	35620 	33790 	25760 	: 
A,BASIC,TOTAL,HLD,IS	: 	840 	: 	: 	: 	: 
A,BASIC,TOTAL,HLD,IT	140900 	1472370 	917260 	1048150 	388500 	: 
A,BASIC,TOTAL,HLD,LT	48370 	35020 	33110 	33370 	39930 	31740 i
A,BASIC,TOTAL,HLD,LU	340 	320 	250 	220 	180 	160 
A,BASIC,TOTAL,HLD,LV	15680 	10330 	10750 	10820 	14370 	: 
A,BASIC,TOTAL,HLD,ME	: 	1850 	: 	: 	: 	: 
A,BASIC,TOTAL,HLD,MK	: 	: 	2100 	: 	: 	: 
A,BASIC,TOTAL,HLD,MT	30 	1060 	1130 	2740 	1460 	1820 
A,BASIC,TOTAL,HLD,NL	54490 	46690 	43290 	38370 	10180 	8590 
A,BASIC,TOTAL,HLD,NO	4770 	12650 	7810 	13830 	37410 	: 
A,BASIC,TOTAL,HLD,PL	548850 	320990 	288830 	244120 	184290 	: 
A,BASIC,TOTAL,HLD,PT	33930 	31810 	39160 	119030 	133480 	133370 
A,BASIC,TOTAL,HLD,RO	269040 	81490 	113750 	96550 	137390 	128950 
A,BASIC,TOTAL,HLD,RS	: 	20390 	: 	: 	: 	: 
A,BASIC,TOTAL,HLD,SE	11860 	10740 	7740 	6620 	7110 	6460 
A,BASIC,TOTAL,HLD,SI	16370 	19940 	27640 	24750 	16550 	: 
A,BASIC,TOTAL,HLD,SK	7700 	3670 	3550 	3530 	2560 	2470 
A,BASIC,TOTAL,HLD,UK	31640 	21090 	29940 	26210 	: 	: 
A,FULL,TOTAL,HLD,AT	48450 	38450 	38210 	31050 	26990 	28900 
A,FULL,TOTAL,HLD,BE	12340 	11330 	8000 	7850 	8100 	: 
A,FULL,TOTAL,HLD,BG	5470 	3070 	14750 	13350 	11920 	11250 i
A,FULL,TOTAL,HLD,CH	: 	15340 	: 	11770 	10310 	: 
A,FULL,TOTAL,HLD,CY	270 	170 	180 	200 	370 	240 
A,FULL,TOTAL,HLD,CZ	10630 	8470 	9090 	10270 	10340 	12190 
A,FULL,TOTAL,HLD,DE	177730 	39910 	42340 	47000 	49430 	47550 
A,FULL,TOTAL,HLD,DK	2590 	2090 	2350 	2370 	2740 	: 
A,FULL,TOTAL,HLD,EE	6210 	4420 	4940 	4770 	3670 	3780 
A,FULL,TOTAL,HLD,EL	2700 	2360 	4190 	4060 	3710 	3330 
A,FULL,TOTAL,HLD,ES	13530 	15150 	15690 	17490 	37410 	40500 i
A,FULL,TOTAL,HLD,EU27_2020	: 	821580 	896460 	916460 	922710 	: 
A,FULL,TOTAL,HLD,FI	5570 	5940 	5680 	5690 	5330 	: 
A,FULL,TOTAL,HLD,FR	246020 	111550 	138380 	159480 	151120 	74100 
A,FULL,TOTAL,HLD,HR	: 	5030 	3540 	3280 	3420 	3390 
A,FULL,TOTAL,HLD,HU	60710 	18360 	16480 	18820 	20900 	20130 
A,FULL,TOTAL,HLD,IE	18260 	22210 	33680 	34650 	29110 	: 
A,FULL,TOTAL,HLD,IS	: 	730 	: 	: 	2090 	: 
A,FULL,TOTAL,HLD,IT	53110 	68010 	61790 	69480 	76740 	: 
A,FULL,TOTAL,HLD,LT	29800 	24970 	26390 	24720 	17130 	17360 i
A,FULL,TOTAL,HLD,LU	1030 	1010 	1040 	1040 	1000 	920 
A,FULL,TOTAL,HLD,LV	28140 	21790 	23240 	21890 	20440 	: 
A,FULL,TOTAL,HLD,ME	: 	810 	: 	: 	: 	: 
A,FULL,TOTAL,HLD,MK	: 	: 	2000 	: 	: 	: 
A,FULL,TOTAL,HLD,MT	20 	170 	80 	160 	110 	50 
A,FULL,TOTAL,HLD,NL	3990 	4790 	5210 	5250 	32930 	31910 
A,FULL,TOTAL,HLD,NO	20760 	7010 	4720 	4950 	1310 	: 
A,FULL,TOTAL,HLD,PL	404640 	371180 	394030 	387210 	343620 	: 
A,FULL,TOTAL,HLD,PT	4330 	4900 	6540 	6350 	8480 	10420 
A,FULL,TOTAL,HLD,RO	44490 	15580 	17040 	13870 	21440 	28190 
A,FULL,TOTAL,HLD,RS	: 	8990 	: 	: 	: 	: 
A,FULL,TOTAL,HLD,SE	13580 	11880 	12900 	13650 	13320 	12730 
A,FULL,TOTAL,HLD,SI	5220 	6670 	8520 	10120 	20780 	: 
A,FULL,TOTAL,HLD,SK	2300 	2150 	2180 	2380 	2180 	2210 
