freq,lsu,farmtype,animals,unit,geo\TIME_PERIOD	2005 	2007 	2010 	2013 	2016 	2020 	2023 
A,TOTAL,TOTAL,A0010X1000,HLD,AT	117980 	111140 	102070 	97000 	89160 	78520 	72760 
A,TOTAL,TOTAL,A0010X1000,HLD,BE	37080 	34360 	30170 	26460 	24410 	21840 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,BG	473180 	409640 	264810 	172420 	122020 	62010 	45440 i
A,TOTAL,TOTAL,A0010X1000,HLD,CH	53550 	51520 	48680 	: 	42920 	41390 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,CY	11750 	11170 	9710 	10250 	9690 	8130 	6690 
A,TOTAL,TOTAL,A0010X1000,HLD,CZ	30060 	26820 	14820 	17860 	17760 	16260 	16840 
A,TOTAL,TOTAL,A0010X1000,HLD,DE	258840 	241060 	200310 	183790 	169980 	154120 	144780 
A,TOTAL,TOTAL,A0010X1000,HLD,DK	26960 	24040 	20570 	18710 	16640 	17130 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,EE	17480 	12720 	8380 	7120 	5730 	4160 	3630 
A,TOTAL,TOTAL,A0010X1000,HLD,EL	400920 	369200 	266270 	249600 	233170 	124200 	117790 
A,TOTAL,TOTAL,A0010X1000,HLD,ES	310490 	291200 	229530 	205070 	197150 	169400 	151730 i
A,TOTAL,TOTAL,A0010X1000,HLD,EU27_2020	: 	8344140 	6551460 	5910630 	5401590 	4071480 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,FI	26820 	23760 	19490 	16740 	14550 	11860 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,FR	349100 	316340 	281700 	250170 	226500 	192810 	173160 
A,TOTAL,TOTAL,A0010X1000,HLD,HR	: 	161550 	192600 	121560 	87510 	81800 	80060 
A,TOTAL,TOTAL,A0010X1000,HLD,HU	489640 	428150 	368600 	298230 	244620 	110220 	70720 
A,TOTAL,TOTAL,A0010X1000,HLD,IE	126800 	119530 	124040 	125610 	124420 	118800 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,IS	: 	: 	2250 	: 	: 	2030 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,IT	286020 	291130 	183800 	159040 	145020 	191390 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,LT	222340 	182140 	126170 	114210 	91160 	71280 	58220 i
A,TOTAL,TOTAL,A0010X1000,HLD,LU	1870 	1660 	1620 	1520 	1450 	1370 	1300 
A,TOTAL,TOTAL,A0010X1000,HLD,LV	82740 	70690 	47300 	41150 	42630 	25900 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,ME	: 	: 	32740 	: 	: 	: 	: 
A,TOTAL,TOTAL,A0010X1000,HLD,MK	: 	: 	: 	94410 	: 	: 	: 
