freq,uaarea,so_eur,farmtype,crops,unit,geo\TIME_PERIOD	2010 	2013 	2016 	2020 	2023 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,AT	21150 	20750 	22500 	24760 	24020 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,BE	740 	1270 	1490 	2090 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,BG	260 	2470 	4310 	4000 	2890 i
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,CH	5660 	: 	6350 	7880 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,CY	360 	300 	570 	1250 	1190 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,CZ	2360 	2630 	2980 	4530 	4720 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,DE	16520 	18010 	20290 	26090 	28630 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,DK	2140 	2200 	2570 	3670 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,EE	1330 	1540 	1670 	1940 	1860 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,EL	16450 	14480 	12670 	12590 	27460 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,ES	20970 	24590 	28160 	42330 	53970 i
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,EU27_2020	184130 	200580 	243890 	324370 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,FI	3800 	4040 	4230 	4700 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,FR	17620 	22490 	28250 	46360 	50700 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,HR	880 	1630 	3520 	5300 	5820 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,HU	1170 	1010 	2500 	3900 	4900 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,IE	1100 	1630 	1570 	1670 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,IS	30 	: 	: 	0 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,IT	43370 	39910 	65280 	83770 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,LT	2620 	2530 	2470 	2200 	2480 i
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,LU	70 	90 	90 	110 	160 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,LV	3070 	3020 	3670 	3750 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,ME	40 	: 	: 	: 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,MT	10 	10 	: @C	20 	10 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,NL	1200 	1360 	1370 	1690 	1930 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,NO	2540 	2280 	1870 	1830 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,PL	17170 	19830 	19620 	18340 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,PT	1140 	1630 	2060 	3840 	12000 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,RO	1060 	4030 	2380 	15940 	1014750 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,RS	630 	: 	: 	: 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,SE	4990 	5210 	5650 	5350 	4500 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,SI	2180 	3580 	3590 	3610 	: 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,SK	400 	340 	430 	580 	910 
A,TOTAL,TOTAL,TOTAL,UAAXK0000_ORG,HLD,UK	3520 	2710 	2600 	: 	: 
