freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,13000,PROD_BP,MIO_EUR,AT	3475.99 	3446.50 	3229.17 	3200.84 	3588.42 	3513.05 	3610.36 	3601.08 	3732.65 	4484.60 	4744.70 	4738.61 
A,13000,PROD_BP,MIO_EUR,BE	4746.45 	4586.53 	4510.29 	4303.63 	4732.50 	4488.91 	4747.40 	4711.29 	4841.77 	6443.07 	6310.53 	6391.80 
A,13000,PROD_BP,MIO_EUR,BG	1162.17 	1122.39 	1041.19 	936.43 	952.43 	946.70 	976.64 	1003.17 	1003.48 	1193.20 	1296.22 	1234.28 
A,13000,PROD_BP,MIO_EUR,CH	4479.43 	4627.59 	4922.99 	4837.35 	4763.25 	4625.71 	4950.92 	5381.21 	5477.06 	5950.45 	6183.29 	6424.72 
A,13000,PROD_BP,MIO_EUR,CY	355.07 	367.09 	354.78 	399.81 	410.88 	419.09 	434.96 	455.65 	480.42 	477.21 	542.48 	563.78 
A,13000,PROD_BP,MIO_EUR,CZ	1805.05 	1871.83 	1702.61 	1683.03 	1953.63 	2014.97 	2057.60 	1988.06 	2093.29 	2689.12 	2923.94 	2806.14 
A,13000,PROD_BP,MIO_EUR,DE	29619.77 	28714.29 	25592.35 	25119.18 	29307.92 	27804.72 	28818.50 	26520.28 	26967.97 	36688.37 	35920.27 	36206.68 
A,13000,PROD_BP,MIO_EUR,DK	6780.66 	6786.93 	5754.22 	6063.40 	6777.78 	6253.37 	6597.04 	6948.35 	6475.64 	7697.80 	7696.92 	7658.48 
A,13000,PROD_BP,MIO_EUR,EA19	127352.73 	126106.54 	119466.02 	117367.26 	129486.80 	125886.64 	129616.17 	126679.04 	131008.92 	165570.59 	170515.14 	171390.34 
A,13000,PROD_BP,MIO_EUR,EA20	128174.53 	126861.57 	120214.99 	118116.58 	130282.62 	126658.98 	130483.98 	127511.81 	131977.59 	166695.57 	171625.71 	172556.42 
A,13000,PROD_BP,MIO_EUR,EE	451.68 	424.26 	364.56 	348.97 	438.18 	401.49 	417.99 	414.87 	451.43 	652.94 	641.71 	656.84 
A,13000,PROD_BP,MIO_EUR,EL	2603.75 	2555.92 	2615.55 	2529.89 	2641.23 	2597.44 	2516.80 	2480.48 	2585.81 	2952.19 	3357.82 	3395.51 
A,13000,PROD_BP,MIO_EUR,ES	16457.63 	16681.48 	16727.33 	17310.56 	18961.99 	19000.46 	19919.56 	19732.35 	20482.16 	24436.63 	28186.03 	28005.58 
A,13000,PROD_BP,MIO_EUR,EU27_2020	158431.19 	157350.54 	149526.87 	147234.10 	162539.63 	158301.12 	163219.65 	159906.69 	165440.66 	209707.89 	214645.30 	218751.17 
A,13000,PROD_BP,MIO_EUR,FI	2467.73 	2515.41 	2251.16 	2265.97 	2267.18 	2282.89 	2249.86 	2287.05 	2232.20 	2584.90 	2685.21 	2587.55 
A,13000,PROD_BP,MIO_EUR,FR	26598.30 	27087.60 	26002.07 	24666.75 	26056.57 	26021.94 	26631.44 	26645.50 	27205.04 	32875.15 	34478.71 	34133.12 
A,13000,PROD_BP,MIO_EUR,HR	821.80 	755.03 	748.96 	749.32 	795.82 	772.34 	867.81 	832.76 	968.67 	1124.98 	1110.57 	1166.08 
A,13000,PROD_BP,MIO_EUR,HU	2670.80 	2707.76 	2760.11 	2693.29 	2939.45 	2966.75 	3070.17 	2858.23 	3056.79 	3755.01 	4276.18 	4208.60 
A,13000,PROD_BP,MIO_EUR,IE	5239.46 	5187.70 	5318.90 	5305.13 	6267.87 	6088.41 	6169.27 	6542.75 	7517.96 	9692.63 	8206.79 	8977.78 
A,13000,PROD_BP,MIO_EUR,IS	244.99 	271.28 	299.43 	318.43 	348.75 	329.88 	314.49 	286.30 	306.48 	367.31 	391.04 	412.26 
A,13000,PROD_BP,MIO_EUR,IT	16888.09 	16470.54 	15737.10 	15144.00 	16236.84 	15815.99 	15901.22 	15608.80 	16475.33 	20431.42 	21702.93 	22044.18 
A,13000,PROD_BP,MIO_EUR,LT	988.53 	977.03 	862.36 	836.61 	986.62 	957.96 	949.19 	930.18 	1021.44 	1437.59 	1286.80 	1340.22 
A,13000,PROD_BP,MIO_EUR,LU	205.66 	215.70 	198.11 	200.98 	235.76 	228.76 	245.53 	248.98 	256.32 	339.84 	331.66 	340.82 
A,13000,PROD_BP,MIO_EUR,LV	504.99 	518.67 	489.84 	456.48 	531.39 	511.56 	532.09 	533.19 	575.93 	780.67 	717.72 	736.72 
