freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,10000,PROD_BP,MIO_EUR,AT	2972.77 	2952.54 	3005.66 	3062.28 	3129.04 	3226.98 	3206.59 	3330.31 	4052.35 	5090.76 	4407.55 	4150.78 
A,10000,PROD_BP,MIO_EUR,BE	3769.17 	3457.33 	3632.39 	3595.67 	3576.07 	3640.38 	3926.10 	4047.01 	4934.72 	4934.72 	5161.46 	5017.10 
A,10000,PROD_BP,MIO_EUR,BG	2681.64 	2753.62 	2625.84 	2629.47 	2775.46 	2882.07 	2880.51 	2678.21 	4146.82 	4959.48 	3642.80 	3296.65 
A,10000,PROD_BP,MIO_EUR,CH	3166.66 	3630.57 	3548.97 	3884.50 	3614.40 	3514.92 	4026.07 	3918.76 	3523.72 	4236.77 	4432.73 	4297.63 
A,10000,PROD_BP,MIO_EUR,CY	310.65 	263.02 	289.32 	247.28 	285.02 	273.82 	285.92 	279.67 	291.11 	324.53 	352.80 	347.97 
A,10000,PROD_BP,MIO_EUR,CZ	2919.75 	2885.34 	2742.58 	2952.48 	2817.99 	2964.33 	3112.67 	3302.55 	4044.02 	4644.98 	3927.32 	3640.85 
A,10000,PROD_BP,MIO_EUR,DE	28193.79 	28106.45 	24710.02 	24860.92 	25401.15 	22794.05 	27518.33 	28007.18 	29970.80 	36278.62 	35521.26 	34195.30 
A,10000,PROD_BP,MIO_EUR,DK	3473.10 	3460.52 	3691.49 	3206.14 	3635.94 	3510.28 	3758.23 	4000.92 	4542.11 	5460.56 	4215.01 	4294.97 
A,10000,PROD_BP,MIO_EUR,EA19	169070.16 	164753.54 	168429.39 	165429.85 	169370.05 	175880.06 	179977.94 	178245.69 	198121.87 	228210.68 	221934.61 	217231.27 
A,10000,PROD_BP,MIO_EUR,EA20	170490.55 	165875.99 	169615.48 	166705.23 	170618.73 	177277.71 	181374.63 	179679.79 	199742.58 	230174.13 	223509.16 	218996.95 
A,10000,PROD_BP,MIO_EUR,EE	382.24 	384.39 	467.98 	318.64 	369.81 	349.97 	503.32 	484.27 	570.64 	817.51 	525.74 	528.45 
A,10000,PROD_BP,MIO_EUR,EL	7037.73 	7180.55 	7779.08 	7338.41 	8072.22 	7852.45 	8146.16 	8206.58 	8543.68 	10631.23 	11304.51 	11826.22 
