freq,so_eur,crops,unit,geo\TIME_PERIOD	2005 	2007 	2010 	2013 	2016 	2020 	2023 
A,TOTAL,ARA,HA,AT	1405020 	1388640 	1371290 	1363860 	1344380 	1322910 	1321880 
A,TOTAL,ARA,HA,BE	845320 	841920 	836670 	799810 	855410 	869280 	: 
A,TOTAL,ARA,HA,BG	2522650 	2663640 	3124930 	3279390 	3243960 	3318400 	3285180 i
A,TOTAL,ARA,HA,CH	406350 	406880 	405340 	: 	401330 	403220 	: 
A,TOTAL,ARA,HA,CY	110170 	107830 	84870 	80120 	84250 	102240 	98620 
A,TOTAL,ARA,HA,CZ	2640460 	2570880 	2517490 	2492110 	2473220 	2476710 	2518870 
A,TOTAL,ARA,HA,DE	11903350 	11890450 	11846670 	11875890 	11819330 	11663810 	11681400 
A,TOTAL,ARA,HA,DK	2500590 	2452090 	2419290 	2397230 	2361200 	2373420 	: 
A,TOTAL,ARA,HA,EE	584410 	626950 	640040 	628310 	686550 	692860 	707190 
A,TOTAL,ARA,HA,EL	2057980 	2118620 	1767900 	1816800 	1762260 	1501060 	1382680 
A,TOTAL,ARA,HA,ES	11937250 	11882970 	11286010 	11294620 	11462910 	11714690 	11545770 i
A,TOTAL,ARA,HA,EU27_2020	: 	99068370 	97977100 	97933440 	97078760 	98093810 	: 
A,TOTAL,ARA,HA,FI	2233150 	2248060 	2253450 	2223230 	2164960 	2255680 	: 
A,TOTAL,ARA,HA,FR	18338950 	18301980 	18386080 	18466200 	18249970 	17039400 	16967040 
A,TOTAL,ARA,HA,HR	: 	744690 	895230 	878430 	881620 	887960 	888150 
A,TOTAL,ARA,HA,HU	3606600 	3552600 	3796920 	3800820 	3821830 	4027970 	4145990 
A,TOTAL,ARA,HA,IE	1152400 	1007580 	1011700 	1041970 	458290 	1209770 	: 
A,TOTAL,ARA,HA,IS	: 	: 	34000 	: 	: 	3670 	: 
A,TOTAL,ARA,HA,IT	7040400 	6938830 	7009310 	6728360 	7145040 	7197650 	: 
A,TOTAL,ARA,HA,LT	1872930 	1809380 	2115130 	2277830 	2130250 	2237320 	2280110 i
A,TOTAL,ARA,HA,LU	60050 	61070 	62000 	62600 	61980 	62310 	61670 
A,TOTAL,ARA,HA,LV	1075670 	1110530 	1119960 	1204150 	1284650 	1333290 	: 
A,TOTAL,ARA,HA,ME	: 	: 	4050 	: 	: 	: 	: 
A,TOTAL,ARA,HA,MK	: 	: 	: 	236290 	: 	: 	: 
