freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,20000,PROD_BP,MIO_EUR,AT	2784.68 	2757.10 	2738.19 	2879.69 	3244.19 	3124.43 	3060.41 	3148.19 	3653.20 	4445.52 	4331.96 	4334.29 
A,20000,PROD_BP,MIO_EUR,BE	2408.47 	2244.58 	2485.08 	2238.38 	2471.83 	2225.64 	2627.23 	2408.55 	2440.43 	2837.51 	3727.39 	3936.89 
A,20000,PROD_BP,MIO_EUR,BG	1694.36 	1731.65 	1620.73 	1675.58 	1792.38 	1732.50 	1767.81 	1748.41 	2663.26 	3023.42 	2156.13 	2048.58 
A,20000,PROD_BP,MIO_EUR,CH	3216.98 	3551.32 	3536.37 	3780.93 	3609.70 	3589.52 	3893.43 	4229.79 	3963.95 	4339.49 	4711.52 	4792.33 
A,20000,PROD_BP,MIO_EUR,CY	320.67 	267.73 	273.54 	318.80 	321.16 	308.38 	348.05 	356.01 	358.04 	340.18 	399.40 	430.19 
A,20000,PROD_BP,MIO_EUR,CZ	1426.55 	1485.67 	1423.40 	1690.29 	1675.10 	1700.29 	1752.15 	1935.11 	2317.00 	2608.17 	2300.80 	2334.84 
A,20000,PROD_BP,MIO_EUR,DE	22564.53 	21998.50 	16006.62 	17523.10 	22874.52 	18709.31 	23847.31 	21576.19 	22468.55 	31812.25 	30886.02 	31126.66 
A,20000,PROD_BP,MIO_EUR,DK	2800.36 	2974.86 	2170.27 	2102.97 	3113.35 	2501.26 	3007.35 	3622.12 	3014.54 	3394.28 	3101.77 	3766.03 
A,20000,PROD_BP,MIO_EUR,EA19	130998.03 	130818.50 	130852.17 	129608.37 	145166.84 	143296.19 	147776.44 	142424.98 	151528.34 	179622.78 	182406.93 	187922.65 
A,20000,PROD_BP,MIO_EUR,EA20	132004.48 	131604.88 	131737.62 	130576.34 	146145.09 	144382.29 	148911.74 	143578.22 	152986.74 	181339.89 	183802.07 	189572.30 
