freq,itm_newa,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,IND_A_EURO,I10,AT	94.30 	87.29 	82.28 	92.69 	102.95 	96.11 	89.35 	88.29 	95.62 	121.62 	96.62 	97.62 
A,IND_A_EURO,I10,BE	87.66 	83.53 	91.78 	81.78 	89.56 	81.37 	98.23 	87.47 	83.75 	93.72 	126.48 	132.50 
A,IND_A_EURO,I10,BG	161.21 	171.11 	156.04 	195.94 	209.90 	214.24 	231.03 	244.52 	327.10 	353.15 	257.64 	259.88 
A,IND_A_EURO,I10,CH	109.86 	119.89 	110.30 	122.81 	121.13 	124.40 	129.36 	138.59 	132.66 	123.53 	127.35 	127.46 
A,IND_A_EURO,I10,CY	113.56 	108.98 	101.60 	119.33 	122.01 	122.83 	112.73 	127.06 	123.86 	115.55 	122.14 	123.13 
A,IND_A_EURO,I10,CZ	135.08 	155.37 	137.98 	155.74 	151.09 	144.75 	148.75 	162.03 	180.20 	172.90 	125.65 	130.09 
A,IND_A_EURO,I10,DE	132.46 	126.99 	82.68 	90.81 	129.22 	97.14 	131.58 	111.89 	112.77 	162.13 	133.06 	129.49 
A,IND_A_EURO,I10,DK	106.69 	109.21 	69.52 	67.08 	106.01 	88.00 	107.83 	141.44 	115.78 	121.82 	127.77 	167.58 
A,IND_A_EURO,I10,EA19	111.09 	114.59 	111.66 	111.37 	125.27 	121.50 	124.72 	120.70 	126.02 	144.41 	141.34 	141.60 
A,IND_A_EURO,I10,EA20	110.92 	114.22 	111.64 	111.61 	125.41 	121.71 	124.90 	120.96 	126.61 	144.85 	141.28 	141.57 
A,IND_A_EURO,I10,EE	132.58 	123.65 	100.40 	63.08 	105.91 	81.36 	107.42 	114.74 	115.46 	149.32 	57.37 	77.26 
A,IND_A_EURO,I10,EL	85.03 	90.63 	97.41 	86.64 	102.69 	104.45 	120.22 	128.59 	124.78 	141.73 	146.37 	146.38 
A,IND_A_EURO,I10,ES	112.88 	118.57 	125.24 	135.84 	131.77 	126.63 	120.29 	125.40 	124.84 	122.52 	141.44 	146.68 
A,IND_A_EURO,I10,EU27_2020	115.73 	118.11 	115.06 	115.07 	133.53 	129.88 	135.09 	140.38 	147.34 	167.12 	157.21 	158.21 
A,IND_A_EURO,I10,FI	78.86 	79.00 	66.93 	69.74 	72.60 	70.08 	83.11 	88.11 	79.76 	95.28 	87.79 	92.90 
A,IND_A_EURO,I10,FR	89.54 	101.83 	107.16 	93.42 	108.85 	122.75 	113.35 	100.25 	116.40 	140.66 	117.81 	95.65 
A,IND_A_EURO,I10,HR	90.48 	78.30 	105.74 	117.51 	117.93 	125.33 	131.54 	142.31 	177.33 	186.83 	149.24 	154.41 
A,IND_A_EURO,I10,HU	151.69 	161.01 	151.86 	162.43 	164.89 	169.21 	180.45 	193.53 	201.13 	206.70 	204.24 	192.70 
A,IND_A_EURO,I10,IE	119.28 	122.81 	118.78 	122.70 	155.49 	131.76 	134.10 	154.20 	173.42 	199.66 	120.99 	166.09 
A,IND_A_EURO,I10,IS	97.36 	158.84 	178.96 	165.14 	158.64 	123.81 	124.02 	150.57 	145.73 	156.21 	158.75 	152.29 
A,IND_A_EURO,I10,IT	145.53 	145.02 	141.51 	144.86 	151.07 	155.66 	151.19 	147.75 	149.09 	171.51 	191.59 	209.23 
A,IND_A_EURO,I10,LT	138.44 	125.76 	135.36 	112.72 	140.40 	105.18 	137.24 	188.79 	189.39 	212.46 	112.45 	118.99 
A,IND_A_EURO,I10,LU	90.67 	118.75 	96.96 	90.49 	114.62 	123.03 	121.38 	114.11 	118.18 	142.18 	121.01 	149.27 
A,IND_A_EURO,I10,LV	106.11 	112.83 	127.28 	120.39 	145.54 	127.48 	167.60 	174.95 	188.75 	220.03 	125.38 	184.91 
A,IND_A_EURO,I10,MK	93.61 	91.61 	85.66 	94.75 	93.19 	122.56 	113.59 	137.12 	114.50 	142.87 	: 	: 
A,IND_A_EURO,I10,MT	88.13 	84.52 	95.67 	90.05 	80.39 	77.80 	81.25 	71.08 	63.61 	58.79 	60.83 	57.77 
A,IND_A_EURO,I10,NL	108.69 	104.99 	108.50 	111.04 	123.36 	101.88 	104.75 	99.80 	103.59 	108.03 	119.04 	116.87 
A,IND_A_EURO,I10,NO	99.35 	106.90 	121.18 	124.99 	114.25 	105.34 	109.64 	121.23 	99.01 	129.10 d	123.86 d	148.75 d
A,IND_A_EURO,I10,PL	134.65 	110.93 	112.03 	124.76 	156.32 	147.44 	155.43 	184.78 	169.64 	218.70 	196.40 	192.72 
A,IND_A_EURO,I10,PT	104.79 	105.33 	114.15 	122.96 	129.44 	126.61 	138.16 	139.24 	157.76 	139.08 	163.12 	187.87 
A,IND_A_EURO,I10,RO	115.51 	126.15 	118.29 	121.91 	138.26 	140.63 	147.35 	165.41 	196.33 	153.83 	121.76 	103.35 
A,IND_A_EURO,I10,SE	92.45 	101.34 	106.84 	97.43 	113.32 	92.39 	103.84 	102.17 	125.46 	164.61 	115.89 	129.96 
A,IND_A_EURO,I10,SI	91.14 	103.21 	114.10 	104.45 	97.59 	135.58 	122.61 	133.99 	96.66 	111.32 	102.55 	114.96 
A,IND_A_EURO,I10,SK	130.26 	143.34 	142.86 	173.45 	205.70 	201.57 	189.15 	207.13 	240.54 	241.51 	212.28 	245.57 
A,IND_A_EURO,I10,UK	119.00 	117.13 	99.91 	98.16 	118.56 	106.21 	110.71 	117.24 e	: 	: 	: 	: 
