freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,18000,PROD_BP,MIO_EUR,AT	7109.21 	7085.82 	6948.86 	7000.76 	7441.70 	7500.74 	7590.30 	7720.12 	8631.24 	10571.17 	10192.59 	9981.70 
A,18000,PROD_BP,MIO_EUR,BE	8710.63 	8226.31 	8314.55 	8064.21 	8472.30 	8304.81 	8864.29 	8994.21 	10061.75 	11694.11 	11796.61 	11745.93 
A,18000,PROD_BP,MIO_EUR,BG	4393.78 	4302.03 	4033.15 	3902.63 	4082.76 	4183.78 	4210.50 	4021.96 	5533.07 	6596.76 	5396.45 	4963.42 
A,18000,PROD_BP,MIO_EUR,CH	8814.27 	9451.85 	9784.37 	10014.83 	9706.12 	9433.47 	10319.04 	10710.93 	10466.46 	11802.69 	12408.01 	12567.29 
A,18000,PROD_BP,MIO_EUR,CY	697.21 	662.62 	680.03 	678.65 	723.41 	714.25 	742.54 	753.25 	789.57 	822.35 	915.88 	929.98 
A,18000,PROD_BP,MIO_EUR,CZ	4935.79 	4976.10 	4711.15 	4918.63 	5085.03 	5304.33 	5495.35 	5632.71 	6520.99 	7809.85 	7365.02 	6954.40 
A,18000,PROD_BP,MIO_EUR,DE	61820.65 	61008.32 	54533.95 	54163.00 	58981.88 	55149.04 	60516.08 	58832.58 	61590.27 	77923.88 	76338.18 	75468.66 
A,18000,PROD_BP,MIO_EUR,DK	10963.43 	11023.92 	10280.38 	10042.52 	11200.32 	10508.91 	11133.88 	11720.36 	11751.53 	13962.09 	12714.13 	12780.00 
A,18000,PROD_BP,MIO_EUR,EA19	322081.15 	317145.41 	314453.97 	309066.54 	325566.85 	329859.84 	337915.29 	333314.96 	359564.60 	429657.25 	430696.84 	426358.32 
A,18000,PROD_BP,MIO_EUR,EA20	324495.82 	319186.65 	316544.22 	311250.17 	327770.70 	332192.98 	340338.75 	335737.08 	362312.59 	432902.44 	433537.17 	429447.30 
A,18000,PROD_BP,MIO_EUR,EE	924.05 	900.22 	935.08 	749.73 	885.85 	859.23 	997.64 	995.34 	1129.16 	1630.46 	1312.78 	1311.77 
A,18000,PROD_BP,MIO_EUR,EL	10568.71 	10755.05 	11465.70 	10890.97 	11575.40 	11312.31 	11716.81 	11677.16 	12120.70 	14595.87 	15647.66 	16214.02 
A,18000,PROD_BP,MIO_EUR,ES	44064.65 	43993.75 	45642.00 	48411.62 	50640.76 	52144.46 	51788.97 	51787.22 	57253.20 	63068.36 	66701.43 	68747.15 
A,18000,PROD_BP,MIO_EUR,EU27_2020	400429.15 	393531.85 	387534.23 	382250.28 	404929.69 	409623.62 	420812.04 	414936.34 	451796.81 	541764.49 	536702.89 	531896.81 
A,18000,PROD_BP,MIO_EUR,FI	4963.79 	4815.96 	4537.20 	4532.40 	4474.02 	4588.13 	5120.87 	4813.15 	4676.14 	5822.34 	5508.24 	5479.23 
A,18000,PROD_BP,MIO_EUR,FR	74184.70 	75335.00 	75212.77 	70485.70 	73152.38 	78139.89 	77792.69 	75101.33 	81310.16 	97269.11 	96984.88 	88307.98 
A,18000,PROD_BP,MIO_EUR,HR	2414.66 	2041.24 	2090.25 	2183.63 	2203.85 	2333.15 	2423.46 	2422.11 	2747.98 	3245.19 	2840.33 	3088.98 
A,18000,PROD_BP,MIO_EUR,HU	7810.54 	7957.04 	8007.95 	8300.48 	8387.20 	8427.85 	8669.15 	8398.47 	9520.94 	10398.36 	11547.65 	10555.25 
A,18000,PROD_BP,MIO_EUR,IE	7671.58 	7293.93 	7404.18 	7444.21 	8533.21 	8657.61 	8498.24 	8930.90 	10133.24 	12920.56 	11444.47 	12456.80 
A,18000,PROD_BP,MIO_EUR,IS	376.06 	427.83 	441.36 	471.15 	521.92 	473.84 	461.84 	442.99 	476.41 	576.26 	600.96 	629.06 
A,18000,PROD_BP,MIO_EUR,IT	54516.51 	51297.30 	53012.23 	50843.43 	52401.14 	54842.66 	54323.74 	54210.18 	57940.48 	69109.42 	68268.51 	70213.96 
A,18000,PROD_BP,MIO_EUR,LT	2855.90 	2805.94 	2971.81 	2834.78 	3141.64 	2907.68 	3209.39 	3486.41 	3743.25 	5321.49 	4379.17 	4432.29 
A,18000,PROD_BP,MIO_EUR,LU	422.10 	457.87 	404.28 	406.33 	429.51 	435.49 	442.79 	440.40 	501.52 	597.24 	599.69 	627.73 
A,18000,PROD_BP,MIO_EUR,LV	1299.34 	1315.32 	1435.44 	1315.90 	1407.32 	1345.38 	1629.33 	1727.16 	1769.09 	2354.77 	1874.23 	1935.60 
A,18000,PROD_BP,MIO_EUR,MK	1383.27 	1417.73 	1426.64 	1457.73 	1325.62 	1438.17 	1401.61 	1477.00 	1331.82 	1538.05 	: 	: 
A,18000,PROD_BP,MIO_EUR,MT	131.95 	126.75 	129.03 	126.53 	121.78 	121.17 	126.40 	121.09 	122.37 	138.36 	141.13 	142.74 
A,18000,PROD_BP,MIO_EUR,NL	31717.60 	30570.86 	30143.21 	30488.19 	32031.91 	31420.89 	32755.31 	31724.40 	34405.55 	40556.20 	41511.28 	41312.50 
A,18000,PROD_BP,MIO_EUR,NO	5197.70 	5131.09 	5100.36 	5066.66 	4973.39 	4657.05 	4827.22 	4676.71 	5117.50 	5921.78 	5182.85 	5336.98 
A,18000,PROD_BP,MIO_EUR,PL	23656.62 	23096.20 	22339.61 	22405.51 	24760.75 	24483.36 	25954.52 	26405.78 	27920.01 	39546.32 	36942.35 	39481.46 
A,18000,PROD_BP,MIO_EUR,PT	6862.06 	6885.39 	7253.43 	7032.13 	7609.43 	7728.40 	8213.64 	8285.16 	9579.08 	10669.55 	12522.07 	12533.36 
A,18000,PROD_BP,MIO_EUR,RO	17756.15 	16770.81 	15465.33 	15443.75 	17180.46 	18553.78 	18963.83 	16824.18 	21107.10 	22218.82 	22215.20 	20211.93 
A,18000,PROD_BP,MIO_EUR,SE	6417.03 	6219.11 	6152.44 	5986.58 	6462.46 	5968.64 	6046.06 	6195.81 	7130.58 	8329.85 	7116.79 	7503.04 
A,18000,PROD_BP,MIO_EUR,SI	1153.55 	1217.18 	1269.56 	1206.89 	1153.01 	1369.95 	1325.15 	1366.89 	1323.03 	1590.90 	1580.67 	1648.30 
A,18000,PROD_BP,MIO_EUR,SK	2406.96 	2391.81 	2160.67 	2391.10 	2390.19 	2317.75 	2261.12 	2348.02 	2484.81 	3001.11 	2914.02 	2801.24 
A,18000,PROD_BP,MIO_EUR,UK	30226.60 	31791.64 	32598.37 	28058.81 	29634.93 	29909.11 	30825.12 	29108.59 e	: 	: 	: 	: 
A,18000,PROD_PP,MIO_EUR,AT	7047.87 	7052.58 	6947.29 	7002.95 	7441.23 	7505.15 	7595.23 	7721.69 	8632.89 	10573.26 	10193.86 	9981.74 
A,18000,PROD_PP,MIO_EUR,BE	8626.85 	8147.41 	8196.51 	7992.41 	8374.56 	8247.35 	8785.03 	8913.74 	9983.41 	11624.86 	11739.22 	11697.48 
A,18000,PROD_PP,MIO_EUR,BG	4262.09 	4159.25 	3820.10 	3766.39 	3959.82 	4051.88 	4075.14 	3884.35 	5405.20 	6467.00 	5269.81 	4831.05 
